date,processed_text,sentiment_score,message_frequency,message_length,average_message_length,word_count
1/12/2010,go '' larry w. bass '' < lwbthemarine @ bigplanet.com > 04/05/2000 01:12:07 pm,0,4,78.0,19.5,14.0
1/21/2011,please remove email list . don.baughman @ enron.com,1,3,51.0,17.0,8.0
9/24/2010,kiss as bitch ! : bryan hull 07/19/2000 11:07,-1,4,45.0,11.25,9.0
4/14/2011,"called bargaining , giving 2 3 good ? , trying figure willing take phillip love 08/15/2000 02:25 pm",1,1,99.0,99.0,18.0
8/12/2011,"know 've made good progress respect morning report egm . however , continue receive report 9:00 a.m. , late trading day . please let know resource need , aspect egm run smoothly ena gas . thanks . jeff",1,1,201.0,201.0,38.0
7/1/2011,info . . . today ?,0,9,18.0,2.0,6.0
7/7/2010,'s probably fucking wrong !,-1,4,27.0,6.75,5.0
12/18/2011,"jim , christi , available attend meeting today discus going forward plan transmission agreement ubs . debra debra bailey east power trading",1,4,139.0,34.75,22.0
9/28/2010,news data ? -eric,0,3,17.0,5.666666666666667,4.0
9/3/2010,"firstenergy system ( firstenesy ) assigned transmission asset service agreement american transmission system , inc. ( atsi ) subsidiary firstenergy corp. mnemonic reference changed `` fe '' `` atsi . ''",1,3,202.0,67.33333333333333,31.0
5/19/2011,t.jae black east power trading assistant kevin presto . 713-853-5800 fax 713-646-8272 cell 713-539-4760,0,5,103.0,20.6,14.0
7/8/2010,bid $ 5 eddie kennison .,0,4,24.0,6.0,6.0
5/25/2010,"1. mom & dad 2. troy & andrea 3. reagan & mary 4. randy & steph 5. rrid & lalena 6. marc & friend 7. pat & janice 8. bill matlock & wife 9. bill neighbour & wife 10. corner nieghbour 11. patsy & tatum 12 . 13. mime-version : 1.0 content-type : text/plain ; charset=us-ascii content-transfer-encoding : 7bit x-from : baughman jr. , < /o=enron/ou=na/cn=recipients/cn=dbaughm > x-",1,4,377.0,94.25,68.0
10/15/2011,"hey aunt bonnie , thoroughly enjoyed visit well . long since last time got together . hope get see coming year . hopefully , make trip pennsylvania soon . love , eric bonnie decker < bdeck62 @ yahoo.com > 09/15/2000 11:29:04",1,7,224.0,32.0,41.0
9/2/2010,", need look counterparties `` closed '' status determin actually signed ? thanks , eric : bryan hull 10/26/2000 10:09",1,3,117.0,39.0,20.0
11/6/2010,forgot mention buy pkg lift ticket $ 55/person per day . think probably book room worry lift ticket .,-1,3,101.0,33.666666666666664,19.0
7/30/2011,"subject : ballot original mean michael harris enron broadband service 1400 smith st. # 4569d houston , tx 77002 713-345-7557 -- -- - forwarded michael harris/enron communication 11/09/00 02:12 pm -- -- - bora bariman 11/09/00 12:57 pm",1,6,234.0,39.0,38.0
10/16/2010,dad n't sent yet,0,5,16.0,3.2,4.0
5/31/2011,buried shankman today . e : mail tomorrow . : barry pearce @ enron communication 06/07/2000 01:49 pm,0,6,100.0,16.666666666666668,18.0
9/13/2010,"dear team member : please disregard list previous e-mail . telephone numbers/majors sorted candidate name . following list contains correct contact information candidate . apoligize inconvenience . thank , lexi 3-4585",1,5,217.0,43.4,31.0
4/12/2010,"invitation mailed vp 's annual enron management conference held hyatt hill country san antonio november 15-17. hopefully , received invitation ( save date provide detail point ) . received invitation , please let know .",1,1,219.0,219.0,35.0
11/12/2010,automated e-mail sent commissioner.com web site . go http : //football.commissioner.com/ene -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- trade request eric bass matt lenhart vetoed commissioner . -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --,0,4,366.0,91.5,92.0
4/14/2010,"always compile contact list energy operation holiday ( thanksgiving , christmas new year ) . let know appropriate contact , especially dpr mpr , date . sound see white christmas ! -- sally",1,3,188.0,62.666666666666664,33.0
9/22/2011,"please find interview packet above-referenced candidate . interview occur wednesday january 17 , 2001. please print document reference . hardcopy resume delivered via runner . question , conflict schedule , please hesitate contact . shawn grady 58701",1,3,250.0,83.33333333333333,37.0
5/9/2011,"lloyd , would like see following background position hourly scheduling desk . experience : 0-2 year work experience preferably position daily customer contact . communication skill : must exhibit effective communication skill within power group outside customer . education : economics , marketing , finance degree . competiveness : motivated , competitive , team-oriented people handle stress well work best group . high school college athlete generally work well group . detail oriented : strong analytical skill required highly detailed documentation tracking scheduling trade . shift work : 12-hour shift , day night .",1,1,622.0,622.0,94.0
6/3/2010,"hello everyone , new version database . please install hitting start button , run , type : eoleol reporting databaseview dataeol view database installer.bat . new version database automatically shut 15 minute everyday necessary update current trading data . apologize inconvenience . old version database longer contains data . please sure update . thanks , carrie eugenio",1,7,372.0,53.142857142857146,57.0
4/13/2011,ca n't remember point question ! thanks following -- call remember . -- sally rebecca ford 07/26/2000 05:20 pm,1,7,110.0,15.714285714285714,19.0
2/14/2011,", dynegydirect access completed . financial user id : dbaughman_fin password : enron1 physical user id : dbaughmanphy password : enron1 need contact dynegydirect customer care line , answer question astros . thanks , stephanie x33465",1,3,233.0,77.66666666666667,36.0
4/20/2011,"thanks update attachment . great back houston . heard lot good thing assignment , however , know london group miss presence . try call wednesday morning way office . .",1,3,167.0,55.666666666666664,30.0
12/4/2010,fun trip palm spring . live tough life n't ?,1,3,44.0,14.666666666666666,10.0
5/11/2010,dad n't sent yet,0,2,16.0,8.0,4.0
8/15/2011,", - n't look great utep . see happens settle qb nick hiemstra 09/18/2000 04:33 pm",-1,3,81.0,27.0,16.0
7/10/2010,say el tiempo,0,3,13.0,4.333333333333333,3.0
8/4/2011,meant include original distribution . wanda,1,5,43.0,8.6,6.0
3/24/2011,fyi,1,4,3.0,0.75,1.0
11/6/2010,approved . sally beck,1,3,21.0,7.0,4.0
9/22/2011,latest draft matrix . john seen version ; certain seen update . please let know outcome conversation fernley - somewhat discouraged john 's remark would like get misconception cleared soon possible ( whether assume position london ) .,1,3,234.0,78.0,38.0
2/23/2010,"please find attached average nymex l3d close pjm cinergy . please call x58528 question . thank , castlen moore",1,7,110.0,15.714285714285714,19.0
5/25/2011,wanted let know tne posting hourly index feb. 16 19 daily index feb. 20 21 tuesday . ? ? bobette riner ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? senior power market analyst ? ? ? ? ? ? tradersnews energy 713/647-8690 fax : 713/647-7552 cell : 832/428-7008 bobette.riner @ ipgdirect.com http : //www.tradersnewspower.com ? ?,1,5,343.0,68.6,79.0
5/22/2011,"absolutely find enough right player go cruise , let know . husband scheduled baseball game wednesday night . could find diamond level ticket another day , might consider giving ticket wednesday night . last resort sort measure , however , hope find success response others . let know ...",1,3,287.0,95.66666666666667,49.0
4/10/2011,"please see following interview schedule next week : britt whitman .......... ( please make sure kept confidential ) tuesday , april 10th 2 - 4pm , rm 3127 2pm kayne 2:30pm lloyd 3pm tom 3:30pm allyson tauch wed. , april 11th 12 - 2pm , rm 3127 noon kayne 12:30pm lloyd 1pm tom 1:30pm thanks tjae",1,5,295.0,59.0,56.0
5/18/2011,"currently , member ted murphy 's group preparing certain non-standard report request commercial . report categorized : '' morning report '' - daily component v @ r - daily adhoc v @ r - needed book reconciliation - needed stress testing - needed back testing - weekly correlation matrix - bi-weekly obtained copy report currently prepared . upcoming week need transfer preparation report rac risk operation . order , report report basis , need determine group within risk operation prepare report ( risk management control individual commodity risk management group ) . next couple day , sending listing report prepared , set time meet determine best way go forward . best regard shona",1,7,685.0,97.85714285714286,113.0
5/18/2011,"hey mom , thanks info . tough break rush . sorry hear . thing going well . kind slow . asthma test today - called pulmonary function test . want birthday . want ot get together friday saturday ? let know l - eric",1,7,212.0,30.285714285714285,44.0
11/10/2011,"picture corona bottle took sailboat . however , used photo editor turn piece art . wallpaper : another one : - corona-02.jpg - shrimpers-02.jpg",0,5,143.0,28.6,24.0
6/8/2011,message board,0,3,13.0,4.333333333333333,2.0
2/13/2011,"dpr today final posted executive report viewer . please note revision dpr format made , effective today , due change organizational structure . `` enron north america , emerging business '' section , includes pulp & paper trading lumber , removed replaced `` enron industrial market '' section . question concern , please contact mike moscoso x-35242 .",1,5,352.0,70.4,58.0
12/13/2010,"pleasure meet talk someone know ercot , pjm , etc. ! thanks taking time wednesday thursday visit u . hearing lexi soon regarding super saturday event . `` max sell '' < rudolf @ mail.utexas.edu > 10/10/2000 06:25:47 pm",1,4,218.0,54.5,39.0
7/31/2011,"yeah , bring - would n't hurt another guy micah hatten @ ee 10/18/2000 01:24 pm",1,1,79.0,79.0,16.0
8/22/2010,"follow discussion earlier week commercialization mid back office service managing responsibility ew , timeline review monday pinpoint key date : unify conversion , ee absorption , hpl sale , commercialization , todd busby 's arrival , etc . also detail resource need . use set internal expectation timing successfully handling initiative . welcome comment timeline . -- sally",1,3,375.0,125.0,58.0
4/27/2010,'re auburn still suck phillip love 01/30/2001 01:50 pm,1,3,54.0,18.0,9.0
8/22/2011,"think making great progress system side . would like set deadline november 10th plan north american project ( 'm ok fundementals group excluded ) signed commercial , sally 's world , beth 's world . say signed mean want signitures piece paper everyone onside plan project . n't agree n't sign . certain project ( ie . gas plan ) done yet lay timeframe plan complete . want much way specific objective timeframe . thanks everyone 's hard work . john",1,7,448.0,64.0,81.0
2/2/2010,"following schedule mechelle 's interview brm director position . please find resume ' attached . 8/24 thurs . 7:30am wes colwell ( enron north america managing director ) 8/24 thurs . 8:00am sally beck ( enron north america vice president ) - tentative , may 9:30 friday 8/24 thurs . 4:30 pm barry pearce ( enron broadband vice president ) 8/24 thurs . 5:00 pm lou casari ( enron broadband vice president ) 8/28 monday 11am bob butt ( enron corp. managing director ) 8/28 monday 12:00pm tod lindholm ( enron corp. managing director ) please let know thought discussion . warm regard , shawn",1,3,590.0,196.66666666666666,105.0
11/24/2010,"attached super saturday result ( offer made ) list acceptance , assignment projected start date . forwarding resume new hire . please feel free call new hire , congratulate tell working first rotation . thanks help . ted",1,5,220.0,44.0,38.0
4/14/2010,received executed eei master power purchase sale agreement dated 5/2/01 referenced cp . copy distributed legal credit .,1,3,119.0,39.666666666666664,18.0
11/22/2011,count enron north america corp. : timothy blanchard @ ee 01/27/2000 09:07,0,6,73.0,12.166666666666666,12.0
5/13/2010,"susan , sorry , found wo n't able lunch today . sorry confusion . sorry asking backing .",-1,6,88.0,14.666666666666666,18.0
12/31/2011,"wednesday , september 19th 3 - 3:30pm room - 3125b mime-version : 1.0 content-type : text/plain ; charset=us-ascii content-transfer-encoding : 7bit x-from : baughman jr. , < /o=enron/ou=na/cn=recipients/cn=dbaughm > x-",0,4,218.0,54.5,30.0
2/22/2011,february meeting thursday 5:30 p.m. meet desk go . happy hour chulo 's afterwards . short sweet . question may please bring . thanks kayne,1,4,138.0,34.5,25.0
4/21/2010,everything ever wanted know telluride . http : //www.telluride-ski.com/ #,0,5,73.0,14.6,10.0
12/31/2011,talk christen ? want tonight ? e,1,4,32.0,8.0,7.0
4/8/2010,dean laurent mentioned list counterparties corresponding enpower acronym . please forward list hourly power desk sure enter deal correctly enpower . thanks .,1,4,157.0,39.25,23.0
3/7/2011,"effort protect enron 's e-mail system harmful virus , global messaging team implemented inbound outbound cluster mailsweeper server . mean , user ? inbound outbound internet mail passed set server scan message virus , malicious code , business related-content inappropriate content . inbound internet mail contains following attachment type quarantined ( held delivery ) : * .vbs , * .exe , * .com , * .bat , * .cmd . intended recipient one e-mail , receive automatic notification instruction get legitimate e-mail released quarantine . taken measure protect e-mail environment harmful e-mail virus . believe protection result less time e-mail , event enron get hit virus malicious code .",1,2,688.0,344.0,109.0
3/10/2011,"please find enclosed latest draft enron europe fx brm , requested mike jordan . please note principle discussed mike , fernley beth broadly agreed , although detail yet updated . final report issued ensure receive copy . kind regard",1,4,232.0,58.0,39.0
1/16/2011,"try get tomorrow . , another day okay ? errol mclaughlin @ enron 01/31/2001 07:46",1,3,81.0,27.0,15.0
5/17/2011,hourly index posted ; check web site www.tradersnewspower.com . ? ? bobette riner ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? senior power market analyst ? ? ? ? ? ? tradersnews energy 713/647-8690 fax : 713/647-7552 cell : 832/428-7008 bobette.riner @ ipgdirect.com http : //www.tradersnewspower.com ? ?,1,6,322.0,53.666666666666664,71.0
5/26/2011,11/21/01 moving . consider honor opportunity work fine people . hope keep touch . sincerely scott sims spsims @ msn.com,1,3,119.0,39.666666666666664,20.0
5/15/2011,"imperative book flat 6:00 a.m .. problem going go away . need make sure go home matter shift working book flat , excuse . everyone must contribute aware keeping book flat . day shift position flat flat , need leave night shift proper information flatten position . night shift run scheduling activity report region make sure every book flat 6:00 a.m. excuse .",1,4,359.0,89.75,63.0
9/24/2010,: lesli campbell/enron @ enronxgate 03/19/2001 11:29,0,4,52.0,13.0,7.0
9/20/2010,"hey freak-o ! ? 'm taking study break ( final , ick ! ) thought would say hello . 's new ? moved place yet ? let know come see -- 'll home ( college station ) week tuesday ... making pit stop tahoe way home ... got ta get thru pesky exam first ! greeting la-la-land , eleanor : - ) -- eleanor fraser anderson school ucla , mba 2002 home 310.446.7735 mobile 310.963.4474",-1,6,369.0,61.5,75.0
1/22/2010,"gotten good response think shanna going stay town . weather going fine , hector blowing smoke . christa winfrey 08/08/2000 11:36",1,3,128.0,42.666666666666664,21.0
1/19/2011,glad enjoyed game . field make baseball much fun houston . roy lipsett 04/03/2000 03:06 pm,1,4,90.0,22.5,16.0
11/3/2011,"'re done , hale starting sat . lsu n't stand chance ! http : //www.ncaabaseball.com/news/bbo/bbc/2000/06/08/960520710439.html",-1,5,125.0,25.0,15.0
7/22/2011,hey guy need help shawn staffing called schedule interview manager position 24hr group . following slot avialable need know put . would get together decide would great . 2 candidate thursday let know decide . need know asap today get finalized question please let know . monday 8th eb3127 bruno messer 2:30 3:00 3:30 4:00 wednesday 10th eb3127 john jamroz 2:30 3:00 3:30 4:00 thursday 11th eb3125b brad orosey 2:30 3:00 3:30 4:00 thursday 11th eb3127 eric blair 2:30 3:00 3:30 4:00 thanks lisa shoemake x39194,1,3,509.0,169.66666666666666,86.0
2/25/2011,thanks . andy zipper @ enron 11/28/2000 08:25,1,5,45.0,9.0,8.0
8/7/2011,"shannon l. burnham confirmed telephone interview wednesday , june 6 , 2001 @ 10:00am cst reached ( 225-931-8111 ) . ( shannon ) candidate ( summer intern ) attached resume reference . thank , lydia , x3-9338",1,4,207.0,51.75,37.0
6/10/2011,"n't even 3rd receiver , johnson bum hamstring phillip love 08/29/2000 08:31",1,2,75.0,37.5,12.0
4/8/2010,"muhsin muhammed elvis grbac jeff garcia , raymont harris , wayne chrebet ? give starting qb depth rb ( 4 rb likely play week 1 maybe 2 ) . let know",1,4,147.0,36.75,31.0
6/27/2010,"please join thursday , january 11 1:00 4:00 pm special information session operation management team supporting enron america , enron global market enron industrial market . focus assessing , managing mitigating operational risk . detail location meeting sent early week . look forward seeing everyone meeting 11th . thing discus important every one carry role 2001. hope make every effort attend . please let know soon possible conflict keep attending meeting .",1,3,462.0,154.0,72.0
3/30/2010,need go take tour site . believe williams put together whalley 's vision year ago . http : //www.williamscustomerfirst.com/index.jsp #,1,2,134.0,67.0,20.0
9/24/2011,": wednesday , june 06 , 2001 10:00 am-11:00 ( gmt-06:00 ) central time ( u & canada ) . : @ 10:00am cst ( 225 ) 931-8111 * ~ * ~ * ~ * ~ * ~ * ~ * ~ * ~ * ~ *",0,1,158.0,158.0,47.0
11/26/2011,anybody going two row tonight ? promise wo n't get drunk tonight . 'll around 8:00. square ! . eric,1,5,99.0,19.8,20.0
9/12/2010,"please find attached average nymex l3d close pjm cinergy . please call x58528 question . thank , castlen moore",1,7,110.0,15.714285714285714,19.0
4/24/2011,"1. mom & dad 2. troy & andrea 3. reagan & mary 4. randy & steph 5. rrid & lalena 6. marc & friend 7. pat & janice 8. bill matlock & wife 9. bill neighbour & wife 10. corner nieghbour 11. patsy & tatum 12 . 13. mime-version : 1.0 content-type : text/plain ; charset=us-ascii content-transfer-encoding : 7bit x-from : baughman jr. , < /o=enron/ou=na/cn=recipients/cn=dbaughm > x-",1,5,377.0,75.4,68.0
12/8/2011,"tradersnews hourly , daily term index , along industry coverage , available www.tradersnewsenergy.com . ? bobette riner ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? senior power market analyst ? ? ? ? ? ? tradersnews energy713/647-8690fax : 713/647-7552cell : 832/428-7008bobette.riner @ ipgdirect.comhttp : //www.tradersnewsenergy.com ? ? - dlymrkt 021401.doc",0,5,377.0,75.4,73.0
5/14/2010,"also , bankruptcy , first paid ? specifically , employee first line ? thanks",1,3,76.0,25.333333333333332,14.0
8/11/2011,"dear body shop member : ubs/enron transition body shop membership continue without interruption . working ubs enron transition payroll deduction continue exterior door access body shop . finalizing change please continue body shop membership . thank , body shop",1,4,261.0,65.25,39.0
5/26/2011,please note : attached comed tva/serc hourly index march 8. bobette riner director index tradersnews energy 713/647-8690 fax : 713/647-7552 cell : 832/428-7008 bobette.riner @ ipgdirect.com http : //www.tradersnewsenergy.com - tvahrly030801.doc - comedhrly030801.doc,1,3,266.0,88.66666666666667,33.0
1/26/2010,talk person looking cotton ?,0,3,28.0,9.333333333333334,5.0
10/10/2010,calendar entry : appointment description : stan 's staff mtg . conference room eb49c2 date : 1/16/2001 time : 9:30 - 11:00 ( central standard time ) chairperson : outlook migration team detailed description :,0,3,208.0,69.33333333333333,35.0
9/10/2010,"work . whenever payment due ( 18th ) . write check $ 100 . pay $ 1252 . pay $ 100/ month 13 month ( last payment made october 18th , 2001 ) . payment due 18th every month - exception - deal pay time - make exception . let know ok work contract . -eric '' bass , jason '' < jason.bass2 @ compaq.com > 09/07/2000 12:47:44 pm",0,4,322.0,80.5,69.0
5/2/2011,,0,1,,,
11/5/2011,please keep number handy case . thanks .,1,3,40.0,13.333333333333334,8.0
4/10/2011,calendar entry : appointment description : ava @ hyatt / enron @ glance date : 10/25/2000 time : 7:00 - 8:00 ( central standard time ) chairperson : outlook migration team detailed description :,0,5,194.0,38.8,34.0
12/14/2011,attached find resume . look forward meeting . thanks,1,4,52.0,13.0,9.0
9/4/2010,"received note wellesley recruiting team meeting thursday . look forward seeing . dallas next week ase ? . let melissa know date announced quietly slip mid afternoon thursday . amanda 's school open house thursday 7:00 , parent follow child 's schedule meet teacher . amanda 's first year junior high , important meet teacher understand expectation best support school . mary solmonson brent team duration . look forward seeing , ! -- sally",1,3,439.0,146.33333333333334,74.0
2/11/2010,- fair trade : bryan hull 10/13/2000 04:50 pm,1,4,45.0,11.25,9.0
3/10/2011,"jd , follow earlier meeting , attached following document cg & e : - tsa network handbook summarizes requirement - request network transmission service ( network application ) - request designate new network resource ( required ready designate resource ) - oatt tariff attachment includes attachment f , network service agreement attachment g , network operating agreement - cg & e tsa , transmission scheduling agent agreement epmi already network transmission agreement place , cg & e indicated process first fill network application send network service agreement network operating agreement . contact cg & e paul jett ( 513 ) 287-1770 steve averbeck ( 513 ) 287-2876. government affair contact gloria ogenyi x 58202. thanks , jeff",1,4,734.0,183.5,117.0
4/9/2010,", n't heard enron 's hr department n't seem return call . filled position yet ? 'm definately still interested . regard , david h. mendez lead analyst , peoplesoft corporate system wk . 713-767-8869 ml . 713-582-5952",1,6,216.0,36.0,38.0
9/7/2011,"office noon friday , june 9 , headed hill country pick one daughter camp . attend friday afternoon meeting . able reach cell phone , 713-417-1591 , needed afternoon .",0,4,166.0,41.5,30.0
11/15/2010,"please find attached average nymex l3d close pjm cinergy . please call x58528 question . thank , castlen moore",1,2,110.0,55.0,19.0
2/16/2011,ca n't find name address book - fwd,0,3,35.0,11.666666666666666,8.0
4/18/2010,"[ image ] dear : heading back home holiday ? would n't cool get together old crew high school 're town ? highschoolalumni want help save cash . honor holiday season , extending home holiday special offer valued member . subscribe alumniaccess december 31 , 2001 get one year alumniaccess $ 9.98 - 's 33 % saving normal price $ 14.95 ! upgrade ! alumniaccess best way get back touch old buddy , show everyone awesome life , plan hook crew get back town . , come , show holiday -- $ 9.98 year ! tired receiving update ? click uncheck 'highschoolalumni new feature ' option",1,2,570.0,285.0,106.0
2/11/2010,calendar entry : appointment description : john b . - vacation date : 8/4/2000 time : 7:00 - 8:00 ( central standard time ) detailed description :,0,4,146.0,36.5,27.0
4/29/2010,11:30 brian hoskins 09/05/2000 04:01 pm,0,2,39.0,19.5,6.0
4/13/2011,thought ruggles dy-enron field,0,7,30.0,4.285714285714286,4.0
1/10/2010,new comp program enron - think pay extra advanced laptop . think option ? - eric,1,6,80.0,13.333333333333334,16.0
6/13/2010,"klein high school bearkadettes 2000 golf tournament tournament location : raveneaux country club 9415 cypresswood drive spring , texas 77379 ( 281 ) 370-6370 general information : date : monday , october 16 , 2000 registration : 12:00 noon start time : 1:00 pm format : florida scramble , shotgun start mulligan : four per player ( 2 per nine ) $ 5.00 prior start lunch : sandwich soft drink : 12:00 noon - 1:00 pm dinner : fajita dinner/live auction/silent auction prize : gross & net prize hole-in-one-contest - possible car given away awesome foursome sponsorship includes : hole sponsorship sign green fee four player range ball four player recognition program 2 golf cart 4 lunch 4 dinner need additional information , please call patti x39106 .",1,4,750.0,187.5,128.0
9/7/2011,"get back official distribution list . , forwarding weekly report . -- sally",0,4,75.0,18.75,13.0
8/20/2010,"draft copy global standard report , primarily ena , september 2000. please review provide comment . thanks , mike",1,4,113.0,28.25,19.0
8/26/2010,brutal ! enron north america corp. : timothy blanchard @ ee 03/10/2000 04:48 pm,-1,1,79.0,79.0,14.0
6/7/2011,"hope one arrange schedule tomorrow make time vote . also , please encourage everyone staff take time vote tomorrow . employee typically work later hour , please suggest take time vote coming office . everyone feel sufficient time make vote count . interesting watch return tomorrow evening . hopefully , played part outcome .",1,5,325.0,65.0,54.0
6/9/2010,"please plan attend first ccv civic association meeting 2002. meet christus victor lutheran church 7:30 pm , monday , january 21. addition regular ccv business meeting , candidate/political issue forum . following partial listing individual requested speak : mr. tommy cone mr. ken clark mr. mike clawson mr. david kilpatrick mr. tad nelson mr. ed sebesta mr. larry taylor representative swim team discus proposed community center asked person speak longer 5 minute . question answer period follow presentation . compliment neighborhood many individual want take time inform u view . ask take time attend meeting demonstrate interest homeowner city community . thank peggy reminder . mary g. strickland",1,4,701.0,175.25,108.0
1/8/2011,"attached please find following document : thanks , lydia x3-9338",1,3,64.0,21.333333333333332,10.0
6/5/2011,ca n't make 9 o'clock game phillip love 02/22/2000 12:50 pm,1,6,59.0,9.833333333333334,11.0
12/9/2011,"guy class act , 're glad brought soiree . ? hippest bartender ever met -- ? hope trip good . keep touch -- ? bobette ? bobette riner senior power market analyst tradersnews 713/647-8690 bobette.riner @ ipgdirect.com",1,3,215.0,71.66666666666667,37.0
6/19/2010,"thanks resume . town last several business day , catching e : mail . david told ran lunch . small world ... thing going ? hope good move . -- sally",1,3,147.0,49.0,31.0
3/5/2011,jd leave early,-1,5,14.0,2.8,3.0
6/9/2011,first flag football game tonight ! ? nick hiemstra 03/27/2000 10:00,0,2,67.0,33.5,11.0
12/18/2010,"name restaurant liked lunch christopher . victoria station , lobby hotel victoria station . quick walk office . apparently , another location covent garden . dinner last night fun . always great see either houston london . sorry goodbye abrupt . think taxi driver afraid would get killed ! called home last night told amanda discussion day paris . ready ! ! let u know next houston . quarterly - probably head back march april . -- sally",1,6,437.0,72.83333333333333,78.0
6/7/2011,"-- many five people shot grundy , virginia , law school , police say . watch cnn log http : //cnn.com /aol keyword : cnn latest news . * * * * * * * * * * exclusive cnn video * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * watch day 's top story cnn 's quickcast . constantly updated web exclusive newscast cnn video available realone . learn : http : //www.cnn.com/quickcast/bnews * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * unsubscribe cnn.com 's breaking news e-mail alert , log : http : //cnn.com/email/breakingnews.html , go http : //cnn.com/email sign additional e-mail product ( c ) 2002 cable news network , inc. aol time warner company cnn interactive email id:16474144502260594",1,5,801.0,160.2,207.0
10/29/2010,leaving ?,0,7,9.0,1.2857142857142858,2.0
6/26/2011,"sunday , new fortune magazine roadway two-year old 's car . monday , sixteen year-old used cover cut picture money school project . last night , magazine made hand around midnight everything home settled night . nice article ! smiled reading . nice see accomplishment recognized print . congratulation . hope plenty copy mom dad . -- sally",1,1,339.0,339.0,58.0
2/23/2011,want place $ 1 bid darrel jackson - ( wr sea ),1,3,46.0,15.333333333333334,12.0
10/14/2010,"enron announced today common stock traded over-the-counter ( otc ) equity security symbol `` enrnq . '' follows decision new york stock exchange ( nyse ) file application delist enron 's common stock , mean enron 's common stock related security suspended trading nyse . enron considering whether appeal nyse 's decision . nyse standard criterion listing stock , found website www.nyse.com . enron recently fell following listing criterion : average closing price security less $ 1.00 consecutive 30 trading-day period . quotation service enron 's stock provided national quotation bureau , llc `` pink sheet . ''",1,3,613.0,204.33333333333334,98.0
3/22/2010,"yes , @ 68. inheritance @ risk . --",1,6,35.0,5.833333333333333,9.0
